owi,ISBN-13,Title,Authors,Publisher,Year,Language,oclc,lcc,ddc,fast
3962827,9780767910439,Bryson's Dictionary Of Troublesome Words,['Bill Bryson'],Crown Publishing Group (NY),2004,en,48256093,PE1460,423.1,{'911918': 'English language--Usage'}
1897992474,9780767903868,In A Sunburned Country,['Bill Bryson'],Crown Publishing Group (NY),2001,en,,,,
23754007,9780767903820,I'm A Stranger Here Myself - Notes On Returning To America After Twenty Years Away,['Bill Bryson'],Broadway,1999,en,,,,
4918166206,9780060920081,The Lost Continent - Travels In Small Town America,['Bill Bryson'],Harper Collins,1990,en,19323113,E169.04,917.30492,"{'1204155': 'United States', '1155558': 'Travel', '1007815': 'Manners and customs', '60089': 'Bryson, Bill', '861748': 'Cities and towns', '1169308': 'Voyages and travels'}"
1151354273,9780380713806,Neither Here Nor There: - Travels In Europe,['Bill Bryson'],Harper Collins,1993,en,,,,
534130,9780380727506,Notes From A Small Island,['Bill Bryson'],Harper Collins,1997,en,,,,
793852819,9780380715435,The Mother Tongue,['Bill Bryson'],Harper Collins,1991,en,,,,
4061664585,9780345538376,The Hobbit / The Lord Of The Rings - The Hobbit / The Fellowship Of The Ring / The Two Towers / The Return Of The King,['John Ronald Reuel Tolkien'],Del Rey,2012,en,,,,
2095338866,9780618517657,The Lord Of The Rings,['John Ronald Reuel Tolkien'],Houghton Mifflin Harcourt,2004,en,46986322,PR6039.O32,823.912,"{'1020337': 'Middle Earth (Imaginary place)', '825395': 'Baggins, Frodo', '920756': 'Fantasy fiction, English', '1737939': 'Hobbits (Fictitious characters)', '1085708': 'Quests (Expeditions)', '1176452': 'Wizards', '920710': 'Fantasy fiction', '908236': 'Elves'}"
2095338866,9780618346257,The Fellowship Of The Ring - Being The First Part Of The Lord Of The Rings,['J. R. R. Tolkien'],Mariner Books,2003,en,,,,
2095338866,9780618260584,The Return Of The King - Being The Third Part Of The Lord Of The Rings,['John Ronald Reuel Tolkien'],,2002,en,,,,
19539108,9780618391004,The Lord Of The Rings - Weapons And Warfare,['Chris Smith'],Mariner Books,2003,en,,,,
11561986863,9780618510825,The Lord Of The Rings Complete Visual Companion,['Jude Fisher'],Mariner Books,2004,en,53353900,PN1997.2.L679,791.4372,"{'1399481': 'Lord of the rings, the return of the king (Motion picture)', '1020337': 'Middle Earth (Imaginary place)', '1399810': 'Return of the king (Tolkien, J.R.R.)', '1027381': 'Motion pictures--Setting and scenery', '1202341': 'Lord of the Rings films', '1395643': 'Lord of the rings, the fellowship of the ring (Motion picture)', '1397536': 'Lord of the rings, the two towers (Motion picture)', '1356106': 'Lord of the rings (Tolkien, J. R. R.)'}"
4922811151,9780976694007,Agile Web Development With Rails - A Pragmatic Guide,"['David Thomas', 'David Heinemeier Hansson', 'Leon Breedt']",,2005,en,,,,
50999,,,,,,,,,,
14182960,9781557344496,A Guide For Using Hatchet In The Classroom,['Donna Ickes'],Teacher Created Resources,1994,en,,,,
796442866,9780385326506,Guts - The True Stories Behind Hatchet And The Brian Books,['Gary Paulsen'],Delacorte Books for Young Readers,2001,en,,,,
2906592410,9781575606248,"Molly Hatchet - 5 Of The Best : [Guitar, Vocal]",[''],Cherry Lane Music,2003,en,936885443,,789.61787,
1050498,9781595580276,Hatchet Jobs - Writings On Contemporary Fiction,['Dale Peck'],,2005,en,53950692,PS225,810.9005,{'807113': 'American literature'}
,9781595962805,A Changeling For All Seasons,"['Angela Knight', 'Kate Douglas', 'Shelby Morgen']",Changeling PressLlc,2005,en,,,,
58000206,9780670059676,Changeling,['Delia Sherman'],Viking Childrens Books,2006,en,71009353,PZ7.S5453,FIC,"{'852078': 'Changelings', '1204333': 'New York (State)--New York', '920725': 'Fantasy fiction, American', '919878': 'Fairies', '920687': 'Fantasy', '856632': ""Children's stories""}"
2547136,9780141312620,The Changeling Sea,['Patricia A. McKillip'],Puffin,2003,en,17547926,PS3563.A236,FIC,"{'980104': 'Islands', '1005468': 'Magic', '920687': 'Fantasy'}"
3768432002,,,,,,,97168,PZ7,FIC,"{'935174': 'Friendship', '967585': 'Imagination'}"
5615486976,9781590301944,The Changeling - A Novel,['Kate Horsley'],Shambhala Publications,2005,en,56051072,PS3558.O6976,813.54,"{'1054417': 'Passing (Identity)', '1114598': 'Sex role', '1176568': 'Women', '1205427': 'Ireland', '939593': 'Gender identity', '966892': 'Identity (Psychology)'}"
57492156,9780449146972,The Changeling,['Philippa Carr'],Ivy Books,1990,en,18681598,PR6015.I3,823.914,"{'1204623': 'Great Britain', '1119758': 'Sisters', '1128292': 'Spanish language'}"
529930,9780061159176,The Known World,['Edward P. Jones'],Harper Collins,2006,en,51519698,PS3560.O4813,813.54,"{'1120426': 'Slavery', '1065779': 'Plantation life', '1204597': 'Virginia', '799362': 'African American slaveholders', '799303': 'African American plantation owners', '1120522': 'Slaves', '957973': 'Historical fiction'}"
529930,,,,,,,,,,
529930,9780060749910,The Known World LP,['Edward P. Jones'],Harper Collins,2004,en,51519698,PS3560.O4813,813.54,"{'1120426': 'Slavery', '1065779': 'Plantation life', '1204597': 'Virginia', '799362': 'African American slaveholders', '799303': 'African American plantation owners', '1120522': 'Slaves', '957973': 'Historical fiction'}"
648540223,9780273704744,"Traders, Guns & Money - Knowns And Unknowns In The Dazzling World Of Derivatives",['Satyajit Das'],Pearson Education,2006,en,62766164,HG6024.A3,332.6457,"{'891019': 'Derivative securities', '1129139': 'Speculation', '842780': 'Business mathematics', '927613': 'Floor traders (Finance)', '1110743': 'Securities', '978234': 'Investments'}"
47336439,9781932386103,Artesia: Adventures In The Known World RPG,['Mark Smylie'],Archaia,2009,en,63137422,,793.932,{'1166421': 'Video games'}
356869656,,,,,,,2523390,AC8,081,"{'807040': 'American essays', '1204155': 'United States', '984032': 'Journalism'}"
57880952,9780374280390,Uncommon Carriers,['John McPhee'],Macmillan,2006,en,64595895,HE199.A2,388.044,"{'1155007': 'Transportation', '934154': 'Freight and freightage'}"
56668617,9780374519742,Heirs Of General Practice,['John McPhee'],Macmillan,1986,en,11624080,R729.5.G4,610.695,"{'1062938': 'Physicians (General practice)', '1204155': 'United States', '920401': 'Family medicine', '1015111': 'Medicine--Specialties and specialists'}"
56669185,9780374522599,The Control Of Nature,['John McPhee'],"Farrar, Straus and Giroux",1990,en,19264143,TD170,304.2,"{'913324': 'Environmental protection', '1034564': 'Nature--Effect of human beings on', '1168816': 'Volcanic eruptions', '1204540': 'California--Los Angeles', '1210572': 'Iceland', '1240238': 'Mississippi River', '888763': 'Debris avalanches', '927443': 'Flood control'}"
56669963,9780374518738,Annals Of The Former World,['John McPhee'],"Farrar, Straus and Giroux",2000,en,37588534,QE77,557.3,"{'1204155': 'United States', '940627': 'Geology'}"
56667898,9780374522872,Coming Into The Country,['John McPhee'],Macmillan,1991,en,3223527,F910,917.980450924,"{'1204480': 'Alaska', '1155558': 'Travel', '1427423': 'McPhee, John, 1931-'}"
354395358,,,,,,,10301469,UA800,355.0330494,"{'613780': 'Switzerland. Armee', '1021419': 'Military readiness', '1205401': 'Switzerland', '1036590': 'Neutrality'}"
56668092,9780374516000,Giving Good Weight,['John McPhee'],"Farrar, Straus and Giroux",1994,en,5219401,AC8,081,"{'1117043': 'Short stories', '807040': 'American essays'}"
56668826,9780374520656,Rising From The Plains,['John McPhee'],Noonday Press,1987,en,13796498,QE79,557.8,"{'1241420': 'Rocky Mountains', '940627': 'Geology'}"
3050865,9780822205104,The Heidi Chronicles,['Wendy Wasserstein'],"Dramatists Play Service, Inc.",1990,en,20846610,PS3573.A798,812.54,"{'897468': 'Drama', '806998': 'American drama', '1177149': 'Women art historians', '922609': 'Female friendship', '1176568': 'Women', '1183306': 'Young women--Conduct of life', '1204155': 'United States', '824987': 'Baby boom generation'}"
4495001402,9780679734994,The Heidi Chronicles And Other Plays,['Wendy Wasserstein'],Vintage,1991,en,20522089,PS3573.A798,812.54,"{'1176568': 'Women', '806998': 'American drama'}"
47145522,9781596670235,"Active Literacy Across The Curriculum - Strategies For Reading, Writing, Speaking, And Listening",['Heidi Hayes Jacobs'],Eye on Education,2006,en,62896397,LB1576,428.43,"{'894543': 'Direct instruction', '992291': 'Language arts--Correlation with content subjects', '992389': 'Language experience approach in education'}"
48536168,9781581807745,Simply Beautiful Beaded Jewelry,['Heidi Boyd'],North Light Books,2006,en,,,,
779792,9780800793616,Always Enough - God's Miraculous Provision Among The Poorest Children On Earth,"['Rolland Baker', 'Heidi Baker']",Baker Books,2003,en,52341800,BV3625.M65,266.00922679,"{'1023720': 'Missionaries', '1214418': 'Mozambique', '494192': 'Baker, Rolland', '861010': 'Church work with children', '1093763': 'Religion'}"
793031859,9780871202864,"Mapping The Big Picture - Integrating Curriculum And Assessment, K-12",['Heidi Hayes Jacobs'],Assn for Supervision & Curriculum,1997,en,,,,
481118,9780753454947,Heidi,"['Johanna Spyri', 'Angelo Rinaldi', 'Beverly Cleary']",Kingfisher,2002,en,49293351,PZ7.S772,833.8,"{'1205401': 'Switzerland', '1048433': 'Orphans', '946347': 'Grandfathers', '1028269': 'Mountain life', '1239717': 'Alps', '946360': 'Grandparent and child', '954488': 'Heidi (Fictitious character from Spyri)', '896624': 'Domestic fiction'}"
364304355,9780871209993,Getting Results With Curriculum Mapping,['Heidi Hayes Jacobs'],Assn for Supervision & Curriculum,2004,en,,,,
11436684088,9781852402877,There Is Always Enough - The Story Of Rolland And Heidi Baker's Miraculous Ministry Among The Poor,"['Rolland Baker', 'Heidi Baker']",Sovereign World,2003,en,54503309,BV3625.M65,,"{'1023533': 'Miracle workers', '1023535': 'Miracles', '1023771': 'Missions', '1057199': 'Pentecostalism', '1214418': 'Mozambique', '861115': 'Church work with the poor'}"
4915115518,9780761129585,What To Expect The First Year,"['Heidi Eisenberg Murkoff', 'Arlene Eisenberg', 'Sandee Eisenberg Hathaway']",Workman Publishing,2003,en,,,,
291542911,9780972016414,The Player's Handbook - The Ultimate Guide On Dating And Relationships,"['Heidi Fleiss', 'Libby Keatinge']",One Hour Entertainment Llc,2003,en,,,,
864913740,9781581805635,Simply Beautiful Beading,['Heidi Boyd'],North Light Books,2004,en,54407740,TT860,745.582,"{'829163': 'Beadwork', '829151': 'Beads', '958515': 'Hobbies'}"
4042268,,,,,,,,,,
323111346,9780441102679,Chapterhouse: Dune,['Frank Herbert'],Penguin,1987,en,,,,
4820339105,9780441172696,Dune Messiah,['Frank Herbert'],Ace,1969,en,,,,
37522,9780765306470,Dreamer Of Dune - The Biography Of Frank Herbert,['Brian Herbert'],Macmillan,2004,en,51040937,PS3558.E63,813.54,"{'1108568': 'Science fiction--Authorship', '53238': 'Herbert, Frank', '821764': 'Authors, American', '899474': 'Dune (Imaginary place)'}"
3345772,9780399128981,Heretics Of Dune,['Frank Herbert'],Putnam Adult,1984,en,,,,
14458276,9780765353702,The Road To Dune,"['Frank Herbert', 'Brian Herbert', 'Kevin J. Anderson']",Macmillan,2006,en,58526550,PS3558.E63,813.54,"{'899474': 'Dune (Imaginary place)', '1108568': 'Science fiction--Authorship', '1108635': 'Science fiction, American', '1365334': 'Dune (Herbert, Frank)', '1108566': 'Science fiction'}"
3345772,9780441328000,Heretics Of Dune,['Frank Herbert'],Penguin,1987,en,,,,
3901577446,9780618212903,The Lord Of The Rings - The Art Of The Fellowship Of The Ring,['Gary Russell'],Houghton Mifflin Harcourt,2002,en,49826410,PN1997.2.L67,791.4372,"{'1395643': 'Lord of the rings, the fellowship of the ring (Motion picture)', '1027293': 'Motion pictures--Art direction', '1027381': 'Motion pictures--Setting and scenery', '1020337': 'Middle Earth (Imaginary place)', '1362588': 'Fellowship of the ring (Tolkien, J.R.R.)', '852298': 'Characters and characteristics in motion pictures', '1204155': 'United States'}"
879468,9780345410054,The Power Of One,['Bryce Courtenay'],"Random House Digital, Inc.",1996,en,56598682,PR9619.3.C5964,823,"{'1204616': 'South Africa', '811112': 'Apartheid', '874563': 'Conduct of life', '1075260': 'Prejudices', '837324': 'Boxing stories', '1111517': 'Self-confidence', '854835': 'Children', '1077326': 'Prisons'}"
879468,9780385732543,The Power Of One,['Bryce Courtenay'],Delacorte Books for Young Readers,2005,en,,,,
4465058514,9780785260059,"The Power Of One - One Person, One Rule, One Month","['John C. Maxwell', 'Thomas G. Addington']",Thomas Nelson,2004,en,57088233,HF5387,174.4,"{'1137062': 'Success in business', '842675': 'Business ethics', '944570': 'Golden rule', '975675': 'Integrity', '1123424': 'Social values', '874563': 'Conduct of life', '877062': 'Control (Psychology)', '994701': 'Leadership'}"
796545733,9780471780939,Power Of An Hour - Business And Life Mastery In One Hour A Week,['Dave Lakhani'],Wiley,2006,en,62324743,HD38.2,658.409,"{'1047828': 'Organizational change', '1137062': 'Success in business', '917778': 'Executive ability'}"
168286048,9780325001531,"The Power Of One - The Solo Play For Playwrights, Actors, And Directors",['Louis E. Catron'],Drama,2000,en,42475984,PN1936,809.245,"{'1025573': 'Monodramas', '1045852': 'One-person shows (Performing arts)'}"
761085,9780470045299,EBay For Dummies,['Marsha Collier'],For Dummies,2006,en,54496622,HF5476,381.177,"{'977231': 'Internet auctions', '757125': 'eBay (Firm)', '906906': 'Electronic commerce', '842262': 'Business', '1199779': 'Internet and older people'}"
47336480,9780072262780,What To Sell On EBay And Where To Get It - The Definitive Guide To Product Sourcing For EBay And Beyond,"['Chris Malta', 'Lisa Suttora']",McGraw-Hill Education,2006,en,62533888,HF5478,658.87,"{'757125': 'eBay (Firm)', '977231': 'Internet auctions', '977272': 'Internet marketing'}"
1046891,9780764569241,Starting An EBay Business For Dummies,['Marsha Collier'],For Dummies,2004,en,698170950,HF5478,381.1702854678,"{'977231': 'Internet auctions', '757125': 'eBay (Firm)', '1036825': 'New business enterprises', '1751802': 'New business enterprises--Computer networks', '906916': 'Electronic commerce--Management'}"
42715871,9780471933823,EBay - Top 100 Simplified Tips And Tricks,['Julia Wilkinson'],Visual,2006,en,,,,
1910450284,9780764559914,EBay Timesaving Techniques For Dummies,['Marsha Collier'],For Dummies,2004,en,56125311,HF5478,381.1702854678,"{'757125': 'eBay (Firm)', '977231': 'Internet auctions'}"
3858189384,9780764584381,EBay Business All-In-One Desk Reference For Dummies,['Marsha Collier'],For Dummies,2005,en,60557487,HF5478,381.177,"{'757125': 'eBay (Firm)', '977231': 'Internet auctions', '977272': 'Internet marketing', '906916': 'Electronic commerce--Management'}"
11731280880,9780596523695,Ruby Cookbook,"['Lucas Carlson', 'Leonard Richardson']","O'Reilly Media, Inc.",2006,en,907477306,QA76.64,005.133,"{'1101038': 'Ruby (Computer program language)', '1042804': 'Object-oriented programming (Computer science)', '811707': 'Application software--Development'}"
6716855,9780806523491,Ruby Ann's Down Home Trailer Park Cookbook,['Ruby Ann Boxcar'],Citadel Press,2002,en,49786765,TX714,641.5,"{'1754966': 'Cooking', '1024233': 'Mobile home living'}"
5544066483,9780806525365,Ruby Ann's Down Home Trailer Park Bbqin' Cookbook,['Ruby Ann Boxcar'],Citadel Press,2003,en,52384537,TX840.B3,641.76,"{'1752821': 'Barbecuing', '1754260': 'Outdoor cooking'}"
58206056,9780596527310,Rails Cookbook,['Rob Orsini'],O'Reilly Media,2007,en,,,,
509824227,9780143035008,Anna Karenina - (Penguin Classics Deluxe Edition),['Leo Tolstoy'],Penguin,2004,en,49293075,PG3366,891.733,"{'1207312': 'Russia', '797378': 'Adultery', '1007815': 'Manners and customs', '1010701': 'Married women', '1919811': 'Social conditions', '986293': 'Karenina, Anna (Fictitious character)', '1262050': 'Russia (Federation)', '1360093': 'Anna Karenina (Tolstoy, Leo, graf)'}"
509824227,,,,,,,49293075,PG3366,891.733,"{'1207312': 'Russia', '797378': 'Adultery', '1007815': 'Manners and customs', '1010701': 'Married women', '1919811': 'Social conditions', '986293': 'Karenina, Anna (Fictitious character)', '1262050': 'Russia (Federation)', '1360093': 'Anna Karenina (Tolstoy, Leo, graf)'}"
509824227,9780140449174,Anna Karenina,['Leo Tolstoy'],Penguin UK,2002,en,49293075,PG3366,891.733,"{'1207312': 'Russia', '797378': 'Adultery', '1007815': 'Manners and customs', '1010701': 'Married women', '1919811': 'Social conditions', '986293': 'Karenina, Anna (Fictitious character)', '1262050': 'Russia (Federation)', '1360093': 'Anna Karenina (Tolstoy, Leo, graf)'}"
799632788,9780822001836,CliffsNotes On Tolstoy's Anna Karenina,['Marianne Sturman'],Cliffs Notes,1965,en,,,,
509824227,9781593080273,Anna Karenina,['graf Leo Tolstoy'],Barnes & Noble,2003,en,49293075,PG3366,891.733,"{'1207312': 'Russia', '797378': 'Adultery', '1007815': 'Manners and customs', '1010701': 'Married women', '1919811': 'Social conditions', '986293': 'Karenina, Anna (Fictitious character)', '1262050': 'Russia (Federation)', '1360093': 'Anna Karenina (Tolstoy, Leo, graf)'}"
509824227,9780486437965,Anna Karenina,"['graf Leo Tolstoy', 'Louise Maude', 'Aylmer Maude']",Courier Corporation,2004,en,49293075,PG3366,891.733,"{'1207312': 'Russia', '797378': 'Adultery', '1007815': 'Manners and customs', '1010701': 'Married women', '1919811': 'Social conditions', '986293': 'Karenina, Anna (Fictitious character)', '1262050': 'Russia (Federation)', '1360093': 'Anna Karenina (Tolstoy, Leo, graf)'}"
509824227,9781593081775,Anna Karenina,"['Leo Tolstoy', 'Constance Garnett', 'Amy Mandelker']",Barnes & Noble,2004,en,49293075,PG3366,891.733,"{'1207312': 'Russia', '797378': 'Adultery', '1007815': 'Manners and customs', '1010701': 'Married women', '1919811': 'Social conditions', '986293': 'Karenina, Anna (Fictitious character)', '1262050': 'Russia (Federation)', '1360093': 'Anna Karenina (Tolstoy, Leo, graf)'}"
47063972,9780778322276,Dinner With Anna Karenina,['Gloria Goldreich'],MIRA,2006,en,62744005,PS3557.O3845,813.54,"{'836131': 'Book clubs (Discussion groups)', '922609': 'Female friendship', '895809': 'Divorce', '1204333': 'New York (State)--New York', '1130842': 'Spouses'}"
15935622,9780521313254,Tolstoy: Anna Karenina,['Anthony Thorlby'],Cambridge University Press,1987,en,,,,
51206035,9780140183955,Untouchable,['Mulk Anand'],Penguin,1940,en,22686185,PR6001.N24,823.912,"{'1210276': 'India', '887187': 'Dalits', '1007815': 'Manners and customs', '848395': 'Caste', '1919811': 'Social conditions', '970135': 'Indic fiction (English)', '1071040': 'Poor'}"
570745,9780679767473,The Untouchable,['John Banville'],Vintage,1998,en,35928634,PR6052.A57,823.914,"{'1204623': 'Great Britain', '915419': 'Espionage, Soviet', '1102429': 'Russians', '1131035': 'Spy stories', '939117': 'Gay men', '1219920': 'England', '1077555': 'Private revelations'}"
941863,9781568491981,The Untouchables,"['Eliot Ness', 'Oscar Fraley']",Buccaneer Books,1957,en,1278969,HV6795.C4,364.9773,"{'1078761': 'Prohibition', '1204048': 'Illinois--Chicago', '36071': 'Capone, Al, 1899-1947', '883516': 'Criminals', '244710': 'Ness, Eliot', '882984': 'Crime'}"
895704,9780743270793,Untouchables - My Family's Triumphant Journey Out Of The Caste System In Modern India,['Narendra Jadhav'],Scribner,2005,en,59712234,HB126.I43,305.5688092,"{'1202673': 'India--Maharashtra', '197046': 'Jadhav, Narendra, 1953-', '902277': 'Economists', '1025258': 'Monetary reformers', '887187': 'Dalits', '1210276': 'India', '887201': 'Dalits--Social conditions', '1057439': 'People with social disabilities'}"
2161011,9780932863058,Dalit - The Black Untouchables Of India,"['V. T. Rajshekar Shetty', 'V. T. Rajshekar']",Atlanta ; Ottawa : Clarity Press,1987,en,16355409,DS422.C3,323.154,"{'1210276': 'India', '887187': 'Dalits', '1086509': 'Race relations', '833880': 'Blacks', '848395': 'Caste'}"
48696,9780742508804,Growing Up Untouchable In India - A Dalit Autobiography,['Vasant Moon'],Rowman & Littlefield Pub Incorporated,2001,en,,,,
665985,9780205358625,The Evidence-Based Social Work Skills Book,['Barry Cournoyer'],Pearson College Division,2004,en,52727532,HV11,361.3072,"{'1123461': 'Social work education', '1738265': 'Evidence-based social work', '1123192': 'Social service'}"
37485167,9781557344038,A Guide For Using A Wrinkle In Time In The Classroom,"['John Carratello', 'Patty Carratello']",Teacher Created Resources,1991,en,,,,
30464559,9780380720446,Wrinkles In Time,"['George Smoot', 'Keay Davidson']",Harper Perennial,1994,en,28215032,QB981,523.1,"{'880600': 'Cosmology', '831589': 'Big bang theory'}"
3901583384,9780821925324,A Wrinkle In Time - With Related Readings,"[""Madeleine L'Engle""]",Emc Pub,2002,en,36269116,PZ7.L5385,FIC,"{'1108566': 'Science fiction', '38879': ""L'Engle, Madeleine"", '1127622': 'Space and time', '1369698': ""Wrinkle in time (L'Engle, Madeleine)"", '1000024': 'Literature--Study and teaching', '992284': 'Language arts'}"
102022852,9780439271691,"A Wrinkle In Time - Everything You Need For Successful Literature Circles That Get Kids Thinking, Talking, Writing-And Loving Literature",['Tara McCarthy'],Scholastic Inc.,2002,en,123107898,PS3523.E55,813.54,"{'902499': 'Education', '948503': 'Group reading', '948532': 'Group work in education'}"
37075,9780606105262,Una arruga en el tiempo,"[""Madeleine L'Engle""]",Turtleback,1996,es,22421788,PZ7.L5385,813.54,"{'1127622': 'Space and time', '1151176': 'Time travel', '1108566': 'Science fiction', '839671': 'Brothers and sisters', '1742248': 'Extraterrestrial beings', '942561': 'Gifted children', '1023702': 'Missing persons', '935174': 'Friendship'}"
896518,9780751506433,The Long Shadow,['Cynthia Harrod-Eagles'],Little Brown Uk,1994,en,,,,
37281,9780060786717,A Long Shadow - An Inspector Ian Rutledge Mystery,['Charles Todd'],William Morrow,2006,en,,,,
63142366,9780743499347,Long Way Round - Chasing Shadows Across The World,"['Ewan McGregor', 'Charley Boorman', 'Robert Uhlig']",Simon and Schuster,2005,en,56803286,G440,910.410922,"{'1155558': 'Travel', '1574806': 'Boorman, Charley', '406398': 'McGregor, Ewan, 1971-', '1028122': 'Motorcycling', '1169326': 'Voyages around the world', '1169308': 'Voyages and travels', '1027096': 'Motion picture actors and actresses'}"
44015152,9780765313409,A Shadow In Summer,['Daniel Abraham'],Macmillan,2006,en,60776562,PS3601.B677,813.6,{'862081': 'City and town life'}
4834814,9781400032495,New Hope For The Dead,['Charles Ray Willeford'],Vintage Books,2004,en,12105864,PS3545.I464,813.54,"{'1026733': 'Moseley, Hoke (Fictitious character)', '1068398': 'Police', '1213727': 'Florida--Miami', '1205150': 'Florida', '1204159': 'Florida--Miami Beach', '1077503': 'Private investigators', '891461': 'Detective and mystery stories'}"
196822018,9781400032488,Sideswipe - A Novel,['Charles Ray Willeford'],Vintage Crime/Black Lizard,2005,en,14520904,PS3545.I464,813.54,"{'1026733': 'Moseley, Hoke (Fictitious character)', '1213727': 'Florida--Miami', '1068398': 'Police', '1205150': 'Florida', '1077503': 'Private investigators'}"
4925030,9781400032464,Miami Blues,['Charles Ray Willeford'],Vintage Crime/Black Lizard,2004,en,9896301,PS3545.I464,813.54,"{'1213727': 'Florida--Miami', '1026733': 'Moseley, Hoke (Fictitious character)', '1068398': 'Police', '891461': 'Detective and mystery stories', '807048': 'American fiction'}"
138028507,9780679732525,The Burnt Orange Heresy,['Charles Ray Willeford'],Vintage,1971,en,1145005921,PS3545.I464,813.54,"{'815508': 'Art critics', '1050530': 'Painters', '1205150': 'Florida', '815195': 'Art--Collectors and collecting', '1215470': 'Florida--Palm Beach', '815827': 'Art thefts'}"
364118,9780312424442,I Am Charlotte Simmons - A Novel,['Tom Wolfe'],Macmillan,2005,en,54931646,PS3573.O526,813.54,"{'1177452': 'Women college students', '1183301': 'Young women', '1122346': 'Social classes', '1086509': 'Race relations', '893410': 'Difference (Psychology)', '867954': 'College stories', '867976': 'College students', '1204155': 'United States'}"
5069592070,9780806930770,Edward Lear,['Edward Lear'],"Sterling Publishing Company, Inc.",2001,en,,,,
43955513,9780140366600,The Puffin Book Of Nonsense Verse,['Quentin Blake'],Penguin UK,1996,en,,,,
366863270,9780811201124,Henry Miller On Writing,['Henry Miller'],New Directions Publishing,1964,en,,,,
48627769,9780802130167,Quiet Days In Clichy,['Henry Miller'],Grove Press,1987,en,15793677,PS3525.I5454,813.52,"{'1002985': 'Romance fiction', '1205283': 'France--Paris', '1007815': 'Manners and customs', '1079562': 'Prostitution', '821764': 'Authors, American', '1007080': 'Man-woman relationships', '1226164': 'France--Clichy', '1061964': 'Photography, Artistic'}"
20221523,9780802131782,Tropic Of Cancer,['Henry Miller'],"Miller, Henry",1961,en,,,,
3373617698,9780802151827,Tropic Of Capricorn,['Henry Miller'],"Miller, Henry",1961,en,,,,
4820345223,9780802151780,Nexus,['Henry Miller'],Rosy Crucifixion,1965,en,,,,
47439725,9780802151803,The Rosy Crucifixion: Sexus,['Henry Miller'],"New York, Grove Press",1965,en,,,,
2864642829,9780811201063,The Air-Conditioned Nightmare,['Henry Miller'],New Directions Publishing,1970,en,,,,
2241396280,9780141439631,The Portrait Of A Lady,['Henry James'],Penguin,2003,en,44954298,PS2116,813.4,"{'807488': 'Americans', '813035': 'Archer, Isabel (Fictitious character)', '973371': 'Inheritance and succession', '1156439': 'Triangles (Interpersonal relations)', '1204565': 'Italy', '921890': 'Fathers and daughters', '1010701': 'Married women', '1245064': 'Europe'}"
